file_path	dataset	type
experimentA/Het wild type/HET5WT1_t0.ome.zarr	#Dataset-13801	bia:Image
experimentA/Het wild type/HET5WT1_t1.ome.zarr	#Dataset-13801	bia:Image
experimentA/Het wild type/HET5WT1_t2.ome.zarr	#Dataset-13801	bia:Image
experimentA/Het wild type/HET5WT1_t3.ome.zarr	#Dataset-13801	bia:Image
experimentA/Het wild type/HET5WT1_t4.ome.zarr	#Dataset-13801	bia:Image
experimentA/Het wild type/HET5WT1_t5.ome.zarr	#Dataset-13801	bia:Image
experimentA/Het wild type/HET5WT2_t0.ome.zarr	#Dataset-13801	bia:Image
experimentA/Het wild type/HET5WT2_t1.ome.zarr	#Dataset-13801	bia:Image
experimentA/Het wild type/HET5WT2_t2.ome.zarr	#Dataset-13801	bia:Image
experimentA/Het wild type/HET5WT2_t3.ome.zarr	#Dataset-13801	bia:Image
experimentA/Het wild type/HET5WT2_t4.ome.zarr	#Dataset-13801	bia:Image
experimentA/Het wild type/HET5WT2_t5.ome.zarr	#Dataset-13801	bia:Image
experimentA/Het wild type/HET5WT2_ta.ome.zarr	#Dataset-13801	bia:Image
experimentA/LYS2 spo11 mutant/LYS2SP1_t0.ome.zarr	#Dataset-13802	bia:Image
experimentA/LYS2 spo11 mutant/LYS2SP1_t1.ome.zarr	#Dataset-13802	bia:Image
experimentA/LYS2 spo11 mutant/LYS2SP1_t2.ome.zarr	#Dataset-13802	bia:Image
experimentA/LYS2 spo11 mutant/LYS2SP1_t3.ome.zarr	#Dataset-13802	bia:Image
experimentA/LYS2 spo11 mutant/LYS2SP1_t4.ome.zarr	#Dataset-13802	bia:Image
experimentA/LYS2 spo11 mutant/LYS2SP1_t5.ome.zarr	#Dataset-13802	bia:Image
experimentA/LYS2 spo11 mutant/LYS2SP2_t0.ome.zarr	#Dataset-13802	bia:Image
experimentA/LYS2 spo11 mutant/LYS2SP2_t1.ome.zarr	#Dataset-13802	bia:Image
experimentA/LYS2 spo11 mutant/LYS2SP2_t2.ome.zarr	#Dataset-13802	bia:Image
experimentA/LYS2 spo11 mutant/LYS2SP2_t4.ome.zarr	#Dataset-13802	bia:Image
experimentA/LYS2 spo11 mutant/LYS2SP2_t5.ome.zarr	#Dataset-13802	bia:Image
experimentA/LYS2 spo11 mutant/LYS2SP2_t6.ome.zarr	#Dataset-13802	bia:Image
experimentA/LYS2 spo11 mutant/LYS2SP3_t0.ome.zarr	#Dataset-13802	bia:Image
experimentA/LYS2 spo11 mutant/LYS2SP3_t1.ome.zarr	#Dataset-13802	bia:Image
experimentA/LYS2 spo11 mutant/LYS2SP3_t2.ome.zarr	#Dataset-13802	bia:Image
experimentA/LYS2 spo11 mutant/LYS2SP3_t3.ome.zarr	#Dataset-13802	bia:Image
experimentA/LYS2 spo11 mutant/LYS2SP3_t4.ome.zarr	#Dataset-13802	bia:Image
experimentA/LYS2 spo11 mutant/LYS2SP3_t5.ome.zarr	#Dataset-13802	bia:Image
experimentA/LYS2 wild type/LYS2WT1_t0.ome.zarr	#Dataset-13803	bia:Image
experimentA/LYS2 wild type/LYS2WT1_t1.ome.zarr	#Dataset-13803	bia:Image
experimentA/LYS2 wild type/LYS2WT1_t2.ome.zarr	#Dataset-13803	bia:Image
experimentA/LYS2 wild type/LYS2WT1_t3.ome.zarr	#Dataset-13803	bia:Image
experimentA/LYS2 wild type/LYS2WT1_t4.ome.zarr	#Dataset-13803	bia:Image
experimentA/LYS2 wild type/LYS2WT1_t5.ome.zarr	#Dataset-13803	bia:Image
experimentA/LYS2 wild type/LYS2WT1_t6.ome.zarr	#Dataset-13803	bia:Image
experimentA/LYS2 wild type/LYS2WT2_t0.ome.zarr	#Dataset-13803	bia:Image
experimentA/LYS2 wild type/LYS2WT2_t1.ome.zarr	#Dataset-13803	bia:Image
experimentA/LYS2 wild type/LYS2WT2_t2.ome.zarr	#Dataset-13803	bia:Image
experimentA/LYS2 wild type/LYS2WT2_t3.ome.zarr	#Dataset-13803	bia:Image
experimentA/LYS2 wild type/LYS2WT2_t4.ome.zarr	#Dataset-13803	bia:Image
experimentA/LYS2 wild type/LYS2WT2_t5.ome.zarr	#Dataset-13803	bia:Image
experimentA/LYS2 wild type/LYS2WT3_t0.ome.zarr	#Dataset-13803	bia:Image
experimentA/LYS2 wild type/LYS2WT3_t1.ome.zarr	#Dataset-13803	bia:Image
experimentA/LYS2 wild type/LYS2WT3_t2.ome.zarr	#Dataset-13803	bia:Image
experimentA/LYS2 wild type/LYS2WT3_t3.ome.zarr	#Dataset-13803	bia:Image
experimentA/LYS2 wild type/LYS2WT3_t4.ome.zarr	#Dataset-13803	bia:Image
experimentA/LYS2 wild type/LYS2WT3_t5.ome.zarr	#Dataset-13803	bia:Image
experimentA/URA3 spo11 mutant/URA3SP1_t0.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP1_t1.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP1_t2.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP1_t3.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP1_t4.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP1_t5.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP1_t6.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP2_t0.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP2_t1.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP2_t2.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP2_t3.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP2_t4.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP2_t5.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP3_t0.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP3_t1.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP3_t2.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP3_t3.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP3_t4.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP3_t5.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP4_t0.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP4_t1.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP4_t3.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP4_t4.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP4_t5.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP5_t0.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP5_t1.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP5_t2.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP5_t3.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP5_t4.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP5_t5.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP6_t0.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP6_t1.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP6_t2.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP6_t3.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP6_t4.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP6_t5.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP7_t0.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP7_t1.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP7_t2.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP7_t3.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP7_t4.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP7_t5.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 spo11 mutant/URA3SP7_ta.ome.zarr	#Dataset-13804	bia:Image
experimentA/URA3 wild type/URA3WT1_t0.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT1_t1.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT1_t2.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT1_t3.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT1_t5.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT2_t1.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT2_t2.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT2_t3.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT2_t4.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT2_t5.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT3_t0.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT3_t1.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT3_t2.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT3_t3.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT3_t4.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT3_t5.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT4_t0.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT4_t1.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT4_t2.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT4_t3.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT4_t4.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT4_t5.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT5_t0.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT5_t1.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT5_t2.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT5_t3.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT5_t4.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT5_t5.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT6_t0.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT6_t1.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT6_t3.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT6_t4.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT6_t5.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT7_t0.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT7_t1.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT7_t2.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT7_t3.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT7_t4.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT7_t5.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT8_t0.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT8_t1.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT8_t2.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT8_t3.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT8_t4.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT8_t5.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT8_ta.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT9_t0.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT9_t1.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT9_t2.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT9_t3.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT9_t4.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT9_t5.ome.zarr	#Dataset-13805	bia:Image
experimentA/URA3 wild type/URA3WT9_ta.ome.zarr	#Dataset-13805	bia:Image
